HB030_old,HB030
304231,30423100
304232,30423200
304233,30423300
304234,30423400
304236,30423600
304237,30423700
304239,30423900
304240,30424000
304241,30424100
304242,30424200
304243,30424300
304244,30424400
304245,30424500
304249,30424900
304250,30425000
304251,30425100
304252,30425200
304253,30425300
304254,30425400
304256,30425600
304260,30426000
304261,30426100
304263,30426300
304265,30426500
304266,30426600
304267,30426700
304268,30426800
304269,30426900
304272,30427200
304274,30427400
304275,30427500
304276,30427600
304277,30427700
304278,30427800
304281,30428100
304283,30428300
304285,30428500
304286,30428600
304289,30428900
304290,30429000
304291,30429100
312921,31292100
313393,31339300
313542,31354200
313813,31381300
314033,31403300
404330,40433000
404331,40433100
404334,40433400
404335,40433500
404337,40433700
404338,40433800
404345,40434500
404350,40435000
404351,40435100
404354,40435400
404355,40435500
404357,40435700
404359,40435900
404362,40436200
404366,40436600
404367,40436700
404368,40436800
404374,40437400
404375,40437500
404377,40437700
404379,40437900
404383,40438300
404386,40438600
404397,40439700
404402,40440200
404403,40440300
404409,40440900
404410,40441000
404416,40441600
404419,40441900
404421,40442100
404423,40442300
404424,40442400
404425,40442500
404427,40442700
404429,40442900
404431,40443100
404439,40443900
404442,40444200
404443,40444300
404444,40444400
404448,40444800
404449,40444900
404452,40445200
404456,40445600
404458,40445800
404459,40445900
404463,40446300
404464,40446400
404465,40446500
404466,40446600
404471,40447100
404472,40447200
404477,40447700
404481,40448100
404482,40448200
404483,40448300
404486,40448600
404489,40448900
404493,40449300
404494,40449400
404495,40449500
404496,40449600
404497,40449700
404499,40449900
404509,40450900
404510,40451000
404520,40452000
404521,40452100
404526,40452600
404527,40452700
404528,40452800
404530,40453000
404531,40453100
404537,40453700
404546,40454600
404550,40455000
404551,40455100
404558,40455800
404559,40455900
404561,40456100
404565,40456500
404566,40456600
404573,40457300
404574,40457400
404577,40457700
404581,40458100
404584,40458400
404587,40458700
404589,40458900
404590,40459000
404592,40459200
404593,40459300
404597,40459700
404598,40459800
404606,40460600
404607,40460700
404608,40460800
404609,40460900
404610,40461000
404613,40461300
404614,40461400
404617,40461700
404624,40462400
404633,40463300
404635,40463500
404637,40463700
404641,40464100
404646,40464600
404647,40464700
404650,40465000
404653,40465300
404659,40465900
404663,40466300
404666,40466600
404674,40467400
404675,40467500
404679,40467900
404684,40468400
404685,40468500
404691,40469100
404703,40470300
404704,40470400
404718,40471800
404720,40472000
404723,40472300
404724,40472400
404725,40472500
404726,40472600
404727,40472700
404732,40473200
404740,40474000
404746,40474600
404749,40474900
404750,40475000
404753,40475300
404757,40475700
404771,40477100
404779,40477900
404794,40479400
404797,40479700
404798,40479800
404799,40479900
404812,40481200
404816,40481600
404826,40482600
404828,40482800
404829,40482900
404833,40483300
404834,40483400
404840,40484000
404844,40484400
404847,40484700
404850,40485000
404852,40485200
404853,40485300
404854,40485400
404855,40485500
404860,40486000
404861,40486100
404862,40486200
404866,40486600
404868,40486800
404872,40487200
404874,40487400
404875,40487500
404876,40487600
404877,40487700
404880,40488000
404885,40488500
404896,40489600
404900,40490000
404906,40490600
404912,40491200
404913,40491300
404917,40491700
404919,40491900
404920,40492000
404922,40492200
404931,40493100
404949,40494900
404950,40495000
404953,40495300
404957,40495700
404958,40495800
404959,40495900
404963,40496300
404967,40496700
404971,40497100
404975,40497500
404976,40497600
404977,40497700
404990,40499000
404994,40499400
404995,40499500
404997,40499700
405001,40500100
405005,40500500
405006,40500600
405008,40500800
405025,40502500
405030,40503000
405032,40503200
405034,40503400
405035,40503500
405036,40503600
405037,40503700
405039,40503900
405041,40504100
405043,40504300
405044,40504400
405046,40504600
405048,40504800
405050,40505000
405058,40505800
405061,40506100
405063,40506300
405064,40506400
405066,40506600
405067,40506700
405069,40506900
405071,40507100
405073,40507300
405075,40507500
405076,40507600
405078,40507800
405088,40508800
405089,40508900
405090,40509000
405101,40510100
405106,40510600
405108,40510800
405117,40511700
405125,40512500
405130,40513000
405135,40513500
405136,40513600
405140,40514000
405169,40516900
405177,40517700
405178,40517800
405180,40518000
405181,40518100
405192,40519200
405195,40519500
405197,40519700
405199,40519900
405205,40520500
405206,40520600
405207,40520700
405212,40521200
405231,40523100
405233,40523300
405248,40524800
405249,40524900
405250,40525000
405253,40525300
405255,40525500
405258,40525800
405259,40525900
405262,40526200
405263,40526300
405265,40526500
405270,40527000
405280,40528000
405283,40528300
405290,40529000
405299,40529900
405300,40530000
405301,40530100
405302,40530200
405304,40530400
405314,40531400
405315,40531500
405317,40531700
405318,40531800
405328,40532800
405330,40533000
405331,40533100
405333,40533300
405348,40534800
405352,40535200
405356,40535600
405364,40536400
405372,40537200
405380,40538000
405382,40538200
405384,40538400
405391,40539100
405396,40539600
405401,40540100
405408,40540800
405410,40541000
405411,40541100
405412,40541200
405413,40541300
405421,40542100
405426,40542600
405428,40542800
405433,40543300
405451,40545100
405464,40546400
405465,40546500
405469,40546900
405471,40547100
405473,40547300
405474,40547400
405502,40550200
405504,40550400
405505,40550500
405518,40551800
405520,40552000
405521,40552100
405523,40552300
405528,40552800
405530,40553000
405534,40553400
405544,40554400
405545,40554500
405549,40554900
405553,40555300
405556,40555600
405557,40555700
405558,40555800
405561,40556100
405566,40556600
405567,40556700
405575,40557500
405576,40557600
405585,40558500
405588,40558800
405593,40559300
405613,40561300
405615,40561500
405620,40562000
405621,40562100
405625,40562500
405626,40562600
405627,40562700
405628,40562800
405634,40563400
405640,40564000
405641,40564100
405644,40564400
405647,40564700
405651,40565100
405659,40565900
405665,40566500
405673,40567300
405680,40568000
405681,40568100
405682,40568200
405699,40569900
405701,40570100
405711,40571100
405712,40571200
405713,40571300
405714,40571400
405718,40571800
405734,40573400
405735,40573500
405737,40573700
405738,40573800
405739,40573900
405746,40574600
405747,40574700
405749,40574900
405750,40575000
405755,40575500
405763,40576300
405764,40576400
405765,40576500
405771,40577100
405780,40578000
405789,40578900
405794,40579400
405797,40579700
405804,40580400
405806,40580600
405816,40581600
405820,40582000
405822,40582200
405824,40582400
405834,40583400
405836,40583600
405837,40583700
405846,40584600
405849,40584900
405850,40585000
405852,40585200
405853,40585300
405855,40585500
405858,40585800
405860,40586000
405862,40586200
405866,40586600
405867,40586700
405872,40587200
405876,40587600
405880,40588000
405883,40588300
405902,40590200
405907,40590700
405910,40591000
405911,40591100
405914,40591400
405915,40591500
405916,40591600
405917,40591700
405918,40591800
405919,40591900
405920,40592000
405921,40592100
405924,40592400
405925,40592500
405926,40592600
405927,40592700
405928,40592800
405929,40592900
405931,40593100
405932,40593200
405933,40593300
405934,40593400
405937,40593700
405938,40593800
405939,40593900
405940,40594000
405941,40594100
405942,40594200
405943,40594300
405944,40594400
405945,40594500
405946,40594600
405949,40594900
405951,40595100
405954,40595400
405956,40595600
405957,40595700
405958,40595800
405960,40596000
405961,40596100
405962,40596200
405963,40596300
405964,40596400
405966,40596600
