HB030,HB030_new
108313,10831300
108317,10831700
108319,10831900
108320,10832000
108321,10832100
108322,10832200
108324,10832400
108325,10832500
108327,10832700
108328,10832800
108329,10832900
108331,10833100
108332,10833200
108333,10833300
108334,10833400
108335,10833500
108336,10833600
108337,10833700
108340,10834000
108341,10834100
108342,10834200
108345,10834500
108346,10834600
108349,10834900
108352,10835200
108353,10835300
108354,10835400
108355,10835500
108357,10835700
108359,10835900
108360,10836000
108361,10836100
108362,10836200
108363,10836300
108364,10836400
108365,10836500
108369,10836900
108370,10837000
108371,10837100
108374,10837400
108375,10837500
108377,10837700
108379,10837900
108380,10838000
108381,10838100
108382,10838200
108383,10838300
108384,10838400
108385,10838500
108386,10838600
108387,10838700
108388,10838800
108390,10839000
108391,10839100
108393,10839300
108394,10839400
108395,10839500
108397,10839700
108401,10840100
108403,10840300
108404,10840400
108406,10840600
108407,10840700
108408,10840800
108410,10841000
108411,10841100
108412,10841200
108413,10841300
108415,10841500
108416,10841600
108417,10841700
108418,10841800
108422,10842200
108424,10842400
108425,10842500
108426,10842600
108427,10842700
108429,10842900
108430,10843000
108431,10843100
108432,10843200
108433,10843300
108435,10843500
108436,10843600
108441,10844100
108443,10844300
108444,10844400
108445,10844500
108446,10844600
108449,10844900
108453,10845300
108454,10845400
108455,10845500
108460,10846000
108461,10846100
108462,10846200
108463,10846300
108464,10846400
108465,10846500
108467,10846700
108468,10846800
108471,10847100
108475,10847500
108476,10847600
108481,10848100
108490,10849000
108491,10849100
108494,10849400
108500,10850000
108503,10850300
108504,10850400
108507,10850700
108509,10850900
108510,10851000
108513,10851300
108514,10851400
108515,10851500
108517,10851700
108520,10852000
108522,10852200
108524,10852400
108527,10852700
108528,10852800
108529,10852900
108531,10853100
108532,10853200
108535,10853500
108538,10853800
108540,10854000
108544,10854400
108548,10854800
108550,10855000
108551,10855100
108552,10855200
108553,10855300
108554,10855400
108555,10855500
108556,10855600
108557,10855700
108558,10855800
108559,10855900
108561,10856100
108563,10856300
108564,10856400
108565,10856500
108566,10856600
108568,10856800
108571,10857100
108573,10857300
108575,10857500
108579,10857900
108580,10858000
108581,10858100
108583,10858300
108586,10858600
108587,10858700
108588,10858800
108592,10859200
108593,10859300
108594,10859400
108596,10859600
108599,10859900
108600,10860000
108603,10860300
108604,10860400
108606,10860600
108608,10860800
108610,10861000
108612,10861200
108615,10861500
108616,10861600
108619,10861900
108626,10862600
108627,10862700
108630,10863000
108634,10863400
108635,10863500
108636,10863600
108637,10863700
108639,10863900
108640,10864000
108644,10864400
108645,10864500
108647,10864700
108649,10864900
108650,10865000
108653,10865300
108657,10865700
108659,10865900
108661,10866100
108668,10866800
108671,10867100
