PB030_old,PB030
20060104,2006010004
20060105,2006010005
20060106,2006010006
20060107,2006010007
20060301,2006030001
20060302,2006030002
20060304,2006030004
20060401,2006040001
20060501,2006050001
20060601,2006060001
20060602,2006060002
20060603,2006060003
20060604,2006060004
20060801,2006080001
20060802,2006080002
20060901,2006090001
20060902,2006090002
20061001,2006100001
20061101,2006110001
20061102,2006110002
20061301,2006130001
20061303,2006130003
20061401,2006140001
20061402,2006140002
20061403,2006140003
20061404,2006140004
20061601,2006160001
20061701,2006170001
20061702,2006170002
20061704,2006170004
20061801,2006180001
20061802,2006180002
20061803,2006180003
20061804,2006180004
20061901,2006190001
20062001,2006200001
20062002,2006200002
20062003,2006200003
20062101,2006210001
20062102,2006210002
20062201,2006220001
20062202,2006220002
20062301,2006230001
20062401,2006240001
20062402,2006240002
20062501,2006250001
20062502,2006250002
20063201,2006320001
20063202,2006320002
20063301,2006330001
20063601,2006360001
20063602,2006360002
20063603,2006360003
20063701,2006370001
20063702,2006370002
20063703,2006370003
20063704,2006370004
20063801,2006380001
20063902,2006390002
20064101,2006410001
20064401,2006440001
20064402,2006440002
20064901,2006490001
20065201,2006520001
20065202,2006520002
20065301,2006530001
20065302,2006530002
20065303,2006530003
20065304,2006530004
20065305,2006530005
20065501,2006550001
20065502,2006550002
20065503,2006550003
20065701,2006570001
20065702,2006570002
20065703,2006570003
20065801,2006580001
20065802,2006580002
20065803,2006580003
20065804,2006580004
20065901,2006590001
20065902,2006590002
20066101,2006610001
20066102,2006610002
20066103,2006610003
20066104,2006610004
20066201,2006620001
20066203,2006620003
20066301,2006630001
20066302,2006630002
20066304,2006630004
20066305,2006630005
20066401,2006640001
20066402,2006640002
20066403,2006640003
20066404,2006640004
20066405,2006640005
20066501,2006650001
20066502,2006650002
20066503,2006650003
20066504,2006650004
20066505,2006650005
20066506,2006650006
20066601,2006660001
20066801,2006680001
20066802,2006680002
20067001,2006700001
20067002,2006700002
20067003,2006700003
20067004,2006700004
20067201,2006720001
20067202,2006720002
20067203,2006720003
20067204,2006720004
20067501,2006750001
20067502,2006750002
20067503,2006750003
20067504,2006750004
20067801,2006780001
20067802,2006780002
20067901,2006790001
20067903,2006790003
21067902,2006790002
21067913,2006790103
21067914,2006790104
21067915,2006790105
21067916,2006790106
21067917,2006790107
21067918,2006790108
20068001,2006800001
20068002,2006800002
20068003,2006800003
20068101,2006810001
20068102,2006810002
20068103,2006810003
20068201,2006820001
20068301,2006830001
20068302,2006830002
20068303,2006830003
20068304,2006830004
20068401,2006840001
20068501,2006850001
20068502,2006850002
20068701,2006870001
20068702,2006870002
20068703,2006870003
20068801,2006880001
20068802,2006880002
20068901,2006890001
20068902,2006890002
20069001,2006900001
20069101,2006910001
20069102,2006910002
20069201,2006920001
20069202,2006920002
20069401,2006940001
20069402,2006940002
20069501,2006950001
20069502,2006950002
20069503,2006950003
20069504,2006950004
20069505,2006950005
20069701,2006970001
20069801,2006980001
20069802,2006980002
20069803,2006980003
20069804,2006980004
20070001,2007000001
20070002,2007000002
20070003,2007000003
20070004,2007000004
20070005,2007000005
20070006,2007000006
20070101,2007010001
20070201,2007020001
20070202,2007020002
20070501,2007050001
20070502,2007050002
20070701,2007070001
20070801,2007080001
20070901,2007090001
20071001,2007100001
20071101,2007110001
20071201,2007120001
20071301,2007130001
20071401,2007140001
20071701,2007170001
20071702,2007170002
20072001,2007200001
20072002,2007200002
20072301,2007230001
20072302,2007230002
20072501,2007250001
20072502,2007250002
20072503,2007250003
20072504,2007250004
20072505,2007250005
20072601,2007260001
20072603,2007260003
20072604,2007260004
20072605,2007260005
20072701,2007270001
20072702,2007270002
20072801,2007280001
20072802,2007280002
20072803,2007280003
20072804,2007280004
20073101,2007310001
20073102,2007310002
20073103,2007310003
20073104,2007310004
20073105,2007310005
20073201,2007320001
20073204,2007320004
20073206,2007320006
20073207,2007320007
20073301,2007330001
20073501,2007350001
20073502,2007350002
20073503,2007350003
20073801,2007380001
20073802,2007380002
20073803,2007380003
20073804,2007380004
20074001,2007400001
20074002,2007400002
20074101,2007410001
20074102,2007410002
20074701,2007470001
20074702,2007470002
20074801,2007480001
20074802,2007480002
20074803,2007480003
20074901,2007490001
20075001,2007500001
20075002,2007500002
20075003,2007500003
20075201,2007520001
20075202,2007520002
20075203,2007520003
20075501,2007550001
20075502,2007550002
20075601,2007560001
20075602,2007560002
20075701,2007570001
20075702,2007570002
20076101,2007610001
20076102,2007610002
20076201,2007620001
20076202,2007620002
20076301,2007630001
20076302,2007630002
20076401,2007640001
20076402,2007640002
20076403,2007640003
20076404,2007640004
20076501,2007650001
20076502,2007650002
20076601,2007660001
20076602,2007660002
20076701,2007670001
20076901,2007690001
20076902,2007690002
20077201,2007720001
20077202,2007720002
20077203,2007720003
20077204,2007720004
20077205,2007720005
20077301,2007730001
20077302,2007730002
20077401,2007740001
20077402,2007740002
20077403,2007740003
20077501,2007750001
20077502,2007750002
20077801,2007780001
20077802,2007780002
20077803,2007780003
20077901,2007790001
20077903,2007790003
20077904,2007790004
20078201,2007820001
20078301,2007830001
20078302,2007830002
20078303,2007830003
20078401,2007840001
20078402,2007840002
20078501,2007850001
20078502,2007850002
20078503,2007850003
20078504,2007850004
20078702,2007870002
20078801,2007880001
20078804,2007880004
20078805,2007880005
20078806,2007880006
20078901,2007890001
20078902,2007890002
20079001,2007900001
20079002,2007900002
20079003,2007900003
20079004,2007900004
20079101,2007910001
20079103,2007910003
20079104,2007910004
20079105,2007910005
20079201,2007920001
20079202,2007920002
20079203,2007920003
20079204,2007920004
20079205,2007920005
20079401,2007940001
20079402,2007940002
20079403,2007940003
20079404,2007940004
20079701,2007970001
20079702,2007970002
20079703,2007970003
20079704,2007970004
20079801,2007980001
20079802,2007980002
20079803,2007980003
20080001,2008000001
20080002,2008000002
20080003,2008000003
20080004,2008000004
20080101,2008010001
20080102,2008010002
20080103,2008010003
20080104,2008010004
20080201,2008020001
20080202,2008020002
20080203,2008020003
20080204,2008020004
20080205,2008020005
20080206,2008020006
20080601,2008060001
20080602,2008060002
20080603,2008060003
20080604,2008060004
20080701,2008070001
20080702,2008070002
20080703,2008070003
20081001,2008100001
20081002,2008100002
20081003,2008100003
20081004,2008100004
20081005,2008100005
20081006,2008100006
20081101,2008110001
20081102,2008110002
20081103,2008110003
20081401,2008140001
20081402,2008140002
20081501,2008150001
20081502,2008150002
20081503,2008150003
20081701,2008170001
20081801,2008180001
20081802,2008180002
20082201,2008220001
20082202,2008220002
20082203,2008220003
20082301,2008230001
20082401,2008240001
20082402,2008240002
20082601,2008260001
20082602,2008260002
20082801,2008280001
20082802,2008280002
20082901,2008290001
20083301,2008330001
20083302,2008330002
20083303,2008330003
20083304,2008330004
20083305,2008330005
20083401,2008340001
20083402,2008340002
20083403,2008340003
20083501,2008350001
20083502,2008350002
20083503,2008350003
20083504,2008350004
20083601,2008360001
20083602,2008360002
20083603,2008360003
20083801,2008380001
20083802,2008380002
20083803,2008380003
20083804,2008380004
20083901,2008390001
20083902,2008390002
20084101,2008410001
20084102,2008410002
20084201,2008420001
20084202,2008420002
20084203,2008420003
20084204,2008420004
20084205,2008420005
20084601,2008460001
20084701,2008470001
20084702,2008470002
20084703,2008470003
20084704,2008470004
20084801,2008480001
20084901,2008490001
20084902,2008490002
20084903,2008490003
20084904,2008490004
20084905,2008490005
20084906,2008490006
20084907,2008490007
20085001,2008500001
20085002,2008500002
20085101,2008510001
20085102,2008510002
20085103,2008510003
20085201,2008520001
20085301,2008530001
20085302,2008530002
20085303,2008530003
20085304,2008530004
20085401,2008540001
20085402,2008540002
20085701,2008570001
20085801,2008580001
20085802,2008580002
20085901,2008590001
20085902,2008590002
20086301,2008630001
20086701,2008670001
20086702,2008670002
20086801,2008680001
20086802,2008680002
20086901,2008690001
20086902,2008690002
20087001,2008700001
20087201,2008720001
20087202,2008720002
20087205,2008720005
20087301,2008730001
20087401,2008740001
20087601,2008760001
20087602,2008760002
20087701,2008770001
20087702,2008770002
20087801,2008780001
20087802,2008780002
20087901,2008790001
20087902,2008790002
20087903,2008790003
20088001,2008800001
20088002,2008800002
20088003,2008800003
20088101,2008810001
20088102,2008810002
20088103,2008810003
20088301,2008830001
20088302,2008830002
20088304,2008830004
20088305,2008830005
20088306,2008830006
20088702,2008870002
20088703,2008870003
20088705,2008870005
20088707,2008870007
20088708,2008870008
20088901,2008890001
20088902,2008890002
20089001,2008900001
20089002,2008900002
20089201,2008920001
20089202,2008920002
20089801,2008980001
20089802,2008980002
20089803,2008980003
20089804,2008980004
20089805,2008980005
20089901,2008990001
20089902,2008990002
20089903,2008990003
20089904,2008990004
20090001,2009000001
20090002,2009000002
20090003,2009000003
20090004,2009000004
20090005,2009000005
20090006,2009000006
20090101,2009010001
20090102,2009010002
20090103,2009010003
20090501,2009050001
20090502,2009050002
20090503,2009050003
20090504,2009050004
20090601,2009060001
20090602,2009060002
20090603,2009060003
20090604,2009060004
20091001,2009100001
20091002,2009100002
20091101,2009110001
20091201,2009120001
20091202,2009120002
20091203,2009120003
20091301,2009130001
20091302,2009130002
20091303,2009130003
20091401,2009140001
20091402,2009140002
20091601,2009160001
20091602,2009160002
20091901,2009190001
20092001,2009200001
20092101,2009210001
20092102,2009210002
20092301,2009230001
20092302,2009230002
20092401,2009240001
20092402,2009240002
20092501,2009250001
20092502,2009250002
20092601,2009260001
20092701,2009270001
20092702,2009270002
20092802,2009280002
20092803,2009280003
20092804,2009280004
20092805,2009280005
20092806,2009280006
20092901,2009290001
20092902,2009290002
20093001,2009300001
20093002,2009300002
20093101,2009310001
20093201,2009320001
20093301,2009330001
20093302,2009330002
20093401,2009340001
20093501,2009350001
20093504,2009350004
20093601,2009360001
20093901,2009390001
20093902,2009390002
20094001,2009400001
20094101,2009410001
20094401,2009440001
20094501,2009450001
20094601,2009460001
20094701,2009470001
20094901,2009490001
20095001,2009500001
20095002,2009500002
20095101,2009510001
20095102,2009510002
20095201,2009520001
20095402,2009540002
20096002,2009600002
20096201,2009620001
20096901,2009690001
20096902,2009690002
20097101,2009710001
20097102,2009710002
20097201,2009720001
20097202,2009720002
20097203,2009720003
20097204,2009720004
20097401,2009740001
20097402,2009740002
20097403,2009740003
20097404,2009740004
20097405,2009740005
20097406,2009740006
20097501,2009750001
20097801,2009780001
20097802,2009780002
20097803,2009780003
20097804,2009780004
20098001,2009800001
20098101,2009810001
20098102,2009810002
20098201,2009820001
20098202,2009820002
20098301,2009830001
20098302,2009830002
20098401,2009840001
20098402,2009840002
20098403,2009840003
20098404,2009840004
20098405,2009840005
20098701,2009870001
20098702,2009870002
20098703,2009870003
20098901,2009890001
20098902,2009890002
20099001,2009900001
20099002,2009900002
20099003,2009900003
20099301,2009930001
20099501,2009950001
20099601,2009960001
20099602,2009960002
20099603,2009960003
20099701,2009970001
20099801,2009980001
20099802,2009980002
20099803,2009980003
20100001,2010000001
20100002,2010000002
20100101,2010010001
20100102,2010010002
20100201,2010020001
20100301,2010030001
20100302,2010030002
20100401,2010040001
20100402,2010040002
20100501,2010050001
20100601,2010060001
20100701,2010070001
20100801,2010080001
20100802,2010080002
20100901,2010090001
20101001,2010100001
20101002,2010100002
20101003,2010100003
20101004,2010100004
20101401,2010140001
20101402,2010140002
20101501,2010150001
20101502,2010150002
20101503,2010150003
20101601,2010160001
20101602,2010160002
20101610,2010160010
20101901,2010190001
20101902,2010190002
20101903,2010190003
20101904,2010190004
20102001,2010200001
20102002,2010200002
20102102,2010210002
20102103,2010210003
20102104,2010210004
20102105,2010210005
20102201,2010220001
20102301,2010230001
20102302,2010230002
20102303,2010230003
20102401,2010240001
20102402,2010240002
20102501,2010250001
20102503,2010250003
20103001,2010300001
20103002,2010300002
20103301,2010330001
20103302,2010330002
20103401,2010340001
20103402,2010340002
